epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1204.31,1.5779,3.49878,1.94184,0.82161,0.03845,0.04154,0.01958,1.90847,3.74584,2.4985,0.000194469,0.000194469,0.000194469
2,2141.37,1.57481,2.87248,1.95786,0.65642,0.10388,0.08844,0.04196,2.04495,3.41199,2.69769,0.000342148,0.000342148,0.000342148
3,3304.73,1.55744,2.58733,1.92848,0.47401,0.13204,0.09542,0.04356,1.83241,3.18786,2.31836,0.000441318,0.000441318,0.000441318
4,4594.97,1.5438,2.48996,1.91449,0.57195,0.24493,0.18659,0.08909,1.84893,2.89404,2.44295,0.000369705,0.000369705,0.000369705
5,5807.38,1.4919,2.3542,1.84975,0.58822,0.26384,0.26338,0.13833,1.7447,2.66013,2.27777,0.00029694,0.00029694,0.00029694
6,6975.21,1.48165,2.25714,1.82808,0.53542,0.33091,0.31413,0.15283,1.74952,2.53966,2.25815,0.000224175,0.000224175,0.000224175
7,8277.44,1.43032,2.13867,1.77567,0.6623,0.32943,0.34238,0.1774,1.72904,2.50649,2.23317,0.00015141,0.00015141,0.00015141
8,9588.68,1.40452,2.0571,1.75748,0.66466,0.35597,0.39184,0.21506,1.70855,2.35252,2.18728,7.8645e-05,7.8645e-05,7.8645e-05
